case_id,e1,e2,e3,t1,t2,t3,total_thickness,peak_downward_uz,peak_downward_abs,mean_patch_uz,mean_patch_abs,pinn_eval_seconds,n_eval_points
random_interior_428,8.5495525,9.3382995,8.9193894,0.083938201,0.076103134,0.08540924,0.24545058,-0.04390503931,0.04390503931,-0.03228934014,0.03228934014,0.000787,441
random_interior_311,9.2657062,8.6093546,8.5032215,0.081346588,0.075314931,0.088548582,0.2452101,-0.04510582182,0.04510582182,-0.03314038052,0.03314038052,0.000773,441
random_interior_385,7.2111652,7.6798321,9.8860299,0.060265085,0.091805041,0.099814618,0.25188474,-0.04678480353,0.04678480353,-0.03425499912,0.03425499912,0.000821,441
random_interior_298,9.0226011,6.9385963,8.740248,0.072355407,0.057346283,0.081061336,0.21076303,-0.05162303228,0.05162303228,-0.03955216907,0.03955216907,0.000802,441
random_interior_444,6.4114312,9.1109445,8.2187989,0.08197339,0.069548458,0.087770996,0.23929284,-0.0536975974,0.0536975974,-0.0399620224,0.0399620224,0.000784,441
random_interior_055,4.139936,9.6920402,9.3036582,0.078268719,0.084881956,0.090513014,0.25366369,-0.05623215949,0.05623215949,-0.04135946558,0.04135946558,0.001074,441
random_interior_408,6.6687348,7.7149787,6.4612031,0.06073656,0.094175636,0.087321012,0.24223321,-0.05716790089,0.05716790089,-0.04246640486,0.04246640486,0.000794,441
random_interior_220,8.1688684,8.1976975,7.5924131,0.069308243,0.063858027,0.068790119,0.20195639,-0.05780178955,0.05780178955,-0.04479945623,0.04479945623,0.000780,441
random_interior_314,7.0196326,8.47301,8.02886,0.051790249,0.095533544,0.07312307,0.22044686,-0.05889081241,0.05889081241,-0.04452327561,0.04452327561,0.000789,441
random_interior_114,7.3725619,8.2831668,7.9293378,0.052919578,0.090348612,0.066788239,0.21005643,-0.06158734126,0.06158734126,-0.04703148368,0.04703148368,0.000822,441
random_interior_022,6.5746795,8.3503076,7.7859018,0.096613689,0.081587085,0.071961359,0.25016213,-0.06179532627,0.06179532627,-0.04423389692,0.04423389692,0.001649,441
random_interior_211,5.7371771,9.3703487,9.3724892,0.090506185,0.061373743,0.082846416,0.23472634,-0.06241050295,0.06241050295,-0.04610509409,0.04610509409,0.000763,441
random_interior_196,8.0713098,6.5465169,7.2356495,0.093763574,0.071104362,0.091581305,0.25644924,-0.06270848128,0.06270848128,-0.04437581037,0.04437581037,0.000784,441
random_interior_481,5.661597,9.7307981,7.4721312,0.071739251,0.071321053,0.074048653,0.21710896,-0.06276733443,0.06276733443,-0.0481274134,0.0481274134,0.000778,441
random_interior_179,4.4764988,9.3900629,8.5348192,0.076888936,0.070653668,0.092495738,0.24003834,-0.06356243464,0.06356243464,-0.04734790161,0.04734790161,0.000846,441
random_interior_371,9.1138677,9.4084062,6.4573722,0.094413779,0.061855569,0.072571818,0.22884117,-0.06372099908,0.06372099908,-0.04661912729,0.04661912729,0.000776,441
random_interior_113,4.9668511,9.3127792,6.801816,0.09415129,0.097488123,0.089027812,0.28066723,-0.06423273793,0.06423273793,-0.04381226864,0.04381226864,0.000850,441
random_interior_184,7.377065,4.7192305,8.7286237,0.068958948,0.057966278,0.073605746,0.20053097,-0.06463372649,0.06463372649,-0.05008998872,0.05008998872,0.000802,441
random_interior_225,6.3491021,6.6239593,9.60788,0.080303688,0.04219528,0.09868144,0.22118041,-0.06512460932,0.06512460932,-0.04877785193,0.04877785193,0.000774,441
random_interior_426,8.6430818,4.3469959,8.3972511,0.086624311,0.05750169,0.071394188,0.21552019,-0.06545829356,0.06545829356,-0.04926982366,0.04926982366,0.000866,441
random_interior_240,6.2422176,6.575467,7.7060496,0.064524626,0.05729678,0.089419361,0.21124077,-0.06725172339,0.06725172339,-0.05156310696,0.05156310696,0.000809,441
