case_id,E,thickness,top_uz_mae_pct,top_uz_max_pct,volume_mae_pct,volume_max_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
one_layer_random_000,7.4620459,0.099660631,5.110830,22.989902,2.123746,22.958988,-0.3141682723,-0.3777907774,0.026051,0.110720,405
one_layer_random_001,9.2977577,0.093476655,5.966490,25.836103,2.379404,25.778295,-0.2882866131,-0.3581603564,0.012166,0.001518,405
one_layer_random_002,2.2578283,0.060573849,14.792852,60.116535,5.347973,59.930775,-2.801063104,-4.484965189,0.011249,0.001596,405
one_layer_random_003,9.5052632,0.051998579,23.800950,104.395662,8.236946,104.115476,-0.8732845604,-1.784955755,0.022428,0.001867,405
one_layer_random_004,6.405578,0.060680205,16.217169,65.558416,5.753261,65.355532,-0.9841317462,-1.629312928,0.021486,0.001536,405
one_layer_random_005,7.6994205,0.14665056,3.736578,13.952144,1.923358,13.952144,-0.1364795875,-0.1421392982,0.012324,0.001231,405
one_layer_random_006,9.9433669,0.14658132,4.011308,15.120903,2.004257,15.120903,-0.1057797294,-0.1114457453,0.022237,0.001319,405
one_layer_random_007,6.1371334,0.054371895,21.155499,90.612025,7.350894,90.361178,-1.251500094,-2.385509672,0.011527,0.001578,405
one_layer_random_008,9.4242199,0.077440464,8.997382,35.762577,3.365532,35.643213,-0.4181532573,-0.5676956366,0.022589,0.001594,405
one_layer_random_009,7.9637246,0.050933053,24.148708,108.433442,8.347991,108.147282,-1.079988394,-2.251056989,0.020087,0.001370,405
one_layer_random_010,6.6350373,0.086864105,6.432485,27.450686,2.516440,27.371449,-0.4702971808,-0.5933431665,0.011107,0.001456,405
one_layer_random_011,5.0846301,0.13436179,3.530414,14.773048,1.780250,14.773048,-0.2467993697,-0.2630433564,0.011205,0.001496,405
one_layer_random_012,1.9547378,0.090513296,4.761489,21.738808,1.992995,21.683040,-1.466215297,-1.742239113,0.022457,0.001470,405
one_layer_random_013,7.9831317,0.10931727,4.614523,20.817301,2.008943,20.817301,-0.2417631603,-0.2826771896,0.024741,0.001376,405
one_layer_random_014,8.4758995,0.092828984,5.916684,25.722372,2.359147,25.662838,-0.3208524873,-0.3980309993,0.011434,0.001703,405
one_layer_random_015,5.6452648,0.05473439,20.712587,88.439928,7.206244,88.193229,-1.344725666,-2.534000073,0.012093,0.001969,405
one_layer_random_016,7.098887,0.14391797,3.698116,13.861787,1.893612,13.861787,-0.1537184821,-0.1610015224,0.011445,0.001284,405
one_layer_random_017,7.3993393,0.12693883,4.014490,17.011615,1.887551,17.011615,-0.1907171382,-0.2109893796,0.022248,0.001446,405
one_layer_random_018,7.9074277,0.12727934,4.077452,17.093630,1.910856,17.093630,-0.1774727184,-0.1966921522,0.011285,0.002027,405
one_layer_random_019,2.9296669,0.065394444,12.134578,48.174999,4.499957,48.017488,-1.870997308,-2.772350241,0.036722,0.001770,405
one_layer_random_020,3.7240877,0.084709044,6.162295,26.585845,2.442311,26.505136,-0.8822656935,-1.101839311,0.011199,0.001934,405
one_layer_random_021,5.3672985,0.14962373,3.354600,12.413795,1.838977,12.413795,-0.1881050002,-0.191238503,0.022424,0.002159,405
one_layer_random_022,5.089864,0.050827883,23.439745,106.324396,8.108693,106.044295,-1.695743487,-3.498732515,0.011944,0.001978,405
one_layer_random_023,4.6537959,0.14697684,3.274580,12.230124,1.798466,12.230124,-0.2247961127,-0.2293847069,0.011442,0.001395,405
one_layer_random_024,4.0220909,0.12313281,3.532334,16.387904,1.714976,16.387904,-0.3738151177,-0.408619919,0.022195,0.001648,405
one_layer_random_025,9.8980455,0.05652338,20.300164,83.984657,7.047794,83.741968,-0.724399447,-1.332783839,0.012993,0.001760,405
one_layer_random_026,6.5273187,0.082459353,7.231015,29.963948,2.781518,29.869224,-0.5318084957,-0.6870384171,0.022633,0.001653,405
one_layer_random_027,9.2056221,0.093711882,5.926716,25.710315,2.366968,25.653526,-0.2896509535,-0.3593546896,0.022225,0.001642,405
