case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_max_pct,volume_mae_pct,volume_max_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_000,7.4620459,5.4694568,9.2977577,0.054781324,0.031180696,0.028459079,9.659086,55.735352,4.278929,56.395430,-0.2288772918,-0.1013117286,0.012860,0.046121,405
random_interior_001,9.5052632,1.1798721,6.405578,0.028544164,0.079550404,0.097320444,6.204129,27.045551,2.790980,27.045551,-0.1231056724,-0.08981106517,0.012527,0.002121,405
random_interior_002,9.9433669,9.6923191,6.1371334,0.023497516,0.094881954,0.041952371,6.861974,30.202307,3.007597,30.202307,-0.1044928256,-0.07293358184,0.011479,0.001620,405
random_interior_003,7.9637246,1.0839748,6.6350373,0.049491284,0.056307823,0.087489431,11.350656,64.919105,4.674322,64.919105,-0.1405265027,-0.04929795477,0.011772,0.001789,405
random_interior_004,1.9547378,4.6461966,7.9831317,0.067453815,0.08645244,0.054263187,10.962977,61.506895,4.924865,61.790216,-0.1213822415,-0.04672379356,0.011629,0.001959,405
random_interior_005,5.6452648,1.4260951,7.098887,0.095134378,0.076883016,0.081551066,8.472294,54.341714,3.438256,54.341714,-0.1051220455,-0.04799692444,0.021784,0.001559,405
random_interior_006,7.9074277,7.9551409,2.9296669,0.032315555,0.044214112,0.047767235,11.331021,62.843077,4.986112,62.843077,-0.3059167738,-0.1136692606,0.012351,0.002185,405
random_interior_007,5.3672985,9.9661356,5.089864,0.020662307,0.052478186,0.097581473,3.254409,9.771443,1.572891,10.298283,-0.1124327573,-0.121551249,0.022342,0.001933,405
random_interior_008,4.0220909,7.581953,9.8980455,0.025218704,0.069131722,0.045967482,10.016047,51.713447,4.429698,51.979173,-0.1670605169,-0.0806677653,0.011699,0.001705,405
random_interior_009,9.2056221,4.9340694,7.9178335,0.061765354,0.054305596,0.036238462,10.559594,61.770510,4.623377,61.770510,-0.1255215057,-0.04798623201,0.022602,0.001864,405
random_interior_010,4.2229017,2.9653933,9.7584453,0.05745086,0.03411969,0.033687228,10.775422,61.782334,4.644495,62.283548,-0.2729862135,-0.1043289587,0.021391,0.001581,405
random_interior_011,9.1751024,9.7671941,3.4143638,0.092645687,0.092275049,0.058105287,8.512010,63.277352,3.636199,63.277352,-0.06879864629,-0.02526468469,0.022435,0.001665,405
random_interior_012,8.2859645,1.1896684,8.8742993,0.077093871,0.026208655,0.07354941,8.460357,48.664209,3.967069,48.664209,-0.08540247968,-0.04384203807,0.011405,0.001866,405
random_interior_013,4.2616574,5.6095189,9.6322346,0.076362457,0.033583836,0.024557219,10.669059,58.280975,4.678099,58.280975,-0.213262798,-0.08897115964,0.022755,0.001975,405
random_interior_014,4.3224033,4.7191459,3.8280931,0.066448144,0.06279557,0.099620114,9.166441,58.133165,4.149289,58.133165,-0.1169600513,-0.04896747152,0.020035,0.001511,405
random_interior_015,4.2362111,4.3305299,2.865417,0.031309551,0.050787931,0.03289267,9.998497,55.345251,4.390114,55.646004,-0.460461245,-0.2056178149,0.015437,0.002372,405
random_interior_016,7.294084,8.1270525,9.8852441,0.066032909,0.06985077,0.071057896,10.522824,63.277697,4.646514,63.277697,-0.06630462737,-0.02434858585,0.011675,0.002273,405
random_interior_017,8.7887811,3.6924657,1.2999395,0.086068439,0.087055116,0.047066926,8.311139,70.555456,3.500517,70.555456,-0.1437966896,-0.04234027889,0.022298,0.001662,405
random_interior_018,9.7864273,9.8033471,9.7563246,0.052928909,0.024467488,0.096704343,8.240550,44.090236,3.913925,44.090236,-0.0772461743,-0.04318815362,0.021239,0.001590,405
random_interior_019,7.9525545,7.9008324,8.8846611,0.041151682,0.077660384,0.044931409,10.246378,57.064262,4.444417,57.157467,-0.1029770961,-0.04421397646,0.011480,0.001581,405
random_interior_020,2.1305957,2.5794729,2.2998362,0.027710291,0.085075663,0.051170378,9.513142,49.594709,4.128948,49.594709,-0.3599646507,-0.1814412298,0.011235,0.001655,405
random_interior_021,7.7957006,3.882148,9.0965391,0.085976202,0.080450276,0.070426499,9.738847,60.137840,3.897404,60.137840,-0.07651336235,-0.03049987899,0.014272,0.002110,405
random_interior_022,8.0887404,4.8784467,9.8143077,0.032045609,0.043889658,0.033175563,9.631757,54.548585,4.123560,54.996832,-0.261674804,-0.1189349017,0.012355,0.001981,405
