Using device: mps
Using p0 = 1.0
MultiLayerPINN(
  (layer): LayerNet(
    (net): Sequential(
      (0): Linear(in_features=21, out_features=64, bias=True)
      (1): Tanh()
      (2): Linear(in_features=64, out_features=64, bias=True)
      (3): Tanh()
      (4): Linear(in_features=64, out_features=64, bias=True)
      (5): Tanh()
      (6): Linear(in_features=64, out_features=64, bias=True)
      (7): Tanh()
      (8): Linear(in_features=64, out_features=3, bias=True)
    )
  )
)
Warm-start loaded from /Users/hanbosong/GitHub/Basic-PiNN-Model-For-Three-Layered-Collision/three-layer-workflow/pinn_model.pth
Loading FEM solution for comparison...
FEM solution not found. Training without FEM comparison.
Loading hybrid supervision data (N=36000, E=[1.0, 10.0])...
  Loaded cached FEM supervision: /Users/hanbosong/GitHub/Basic-PiNN-Model-For-Three-Layered-Collision/three-layer-workflow/supervision_cache/fem_supervision_34741efd821c827a.pt (36000 points)
Attached 36000 supervision points to training data.
Starting SOAP Pretraining...
Epoch 0: Total Loss: 1.173748 | PDE: 0.008131 | BC_sides: 0.000076 | Free_top: 0.007001 | Free_bot: 0.014657 | Load: 0.020894 | Energy: -0.003715 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000363 | ImpactInv: 0.000000 | LR: 1.00e-03 | Time: 0.7425s
Epoch 100: Total Loss: 0.909320 | PDE: 0.004009 | BC_sides: 0.000092 | Free_top: 0.006546 | Free_bot: 0.010771 | Load: 0.019702 | Energy: -0.003606 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000310 | ImpactInv: 0.000000 | LR: 1.00e-03 | Time: 25.6649s
Epoch 200: Total Loss: 0.646254 | PDE: 0.002637 | BC_sides: 0.000074 | Free_top: 0.006557 | Free_bot: 0.012180 | Load: 0.017238 | Energy: -0.003138 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000228 | ImpactInv: 0.000000 | LR: 3.00e-04 | Time: 25.6277s
Epoch 300: Total Loss: 0.519200 | PDE: 0.002160 | BC_sides: 0.000064 | Free_top: 0.006502 | Free_bot: 0.013218 | Load: 0.015694 | Energy: -0.002737 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000183 | ImpactInv: 0.000000 | LR: 3.00e-04 | Time: 25.8858s
Epoch 400: Total Loss: 0.474216 | PDE: 0.001987 | BC_sides: 0.000059 | Free_top: 0.006455 | Free_bot: 0.013619 | Load: 0.015156 | Energy: -0.002569 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000167 | ImpactInv: 0.000000 | LR: 9.00e-05 | Time: 25.6805s
Epoch 500: Total Loss: 0.450465 | PDE: 0.001903 | BC_sides: 0.000056 | Free_top: 0.006414 | Free_bot: 0.013798 | Load: 0.014834 | Energy: -0.002476 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000159 | ImpactInv: 0.000000 | LR: 2.70e-05 | Time: 25.7766s
Epoch 600: Total Loss: 0.443003 | PDE: 0.001878 | BC_sides: 0.000055 | Free_top: 0.006418 | Free_bot: 0.013873 | Load: 0.014723 | Energy: -0.002446 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000156 | ImpactInv: 0.000000 | LR: 2.70e-05 | Time: 25.7967s
Epoch 700: Total Loss: 0.439156 | PDE: 0.001865 | BC_sides: 0.000055 | Free_top: 0.006412 | Free_bot: 0.013913 | Load: 0.014659 | Energy: -0.002431 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000155 | ImpactInv: 0.000000 | LR: 8.10e-06 | Time: 26.7392s
SOAP Pretraining Complete. Total Time: 208.23s
Starting L-BFGS Fine-Tuning...
Running 100 L-BFGS outer steps.
Using fixed collocation set during L-BFGS for stability.
L-BFGS Step 0: Total Loss: 4.003453e-01 | PDE: 1.874275e-03 | BC_sides: 5.444151e-05 | Free_top: 6.421209e-03 | Free_bot: 1.394126e-02 | Load: 1.463896e-02 | Energy: -2.425301e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.532359e-04 | ImpactInv: 0.000000e+00 | Time: 0.8282s
L-BFGS Step 1: Total Loss: 4.002651e-01 | PDE: 1.877061e-03 | BC_sides: 5.443484e-05 | Free_top: 6.426401e-03 | Free_bot: 1.395364e-02 | Load: 1.463111e-02 | Energy: -2.425005e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.530389e-04 | ImpactInv: 0.000000e+00 | Time: 0.5320s
L-BFGS Step 2: Total Loss: 4.002050e-01 | PDE: 1.904686e-03 | BC_sides: 5.438926e-05 | Free_top: 6.448322e-03 | Free_bot: 1.399800e-02 | Load: 1.459720e-02 | Energy: -2.423560e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.519446e-04 | ImpactInv: 0.000000e+00 | Time: 0.5253s
L-BFGS Step 3: Total Loss: 4.000264e-01 | PDE: 1.923660e-03 | BC_sides: 5.436039e-05 | Free_top: 6.457529e-03 | Free_bot: 1.400454e-02 | Load: 1.458036e-02 | Energy: -2.422792e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.512202e-04 | ImpactInv: 0.000000e+00 | Time: 0.5270s
L-BFGS Step 4: Total Loss: 3.999245e-01 | PDE: 1.966188e-03 | BC_sides: 5.438447e-05 | Free_top: 6.479759e-03 | Free_bot: 1.401071e-02 | Load: 1.453799e-02 | Energy: -2.421261e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.499562e-04 | ImpactInv: 0.000000e+00 | Time: 0.5245s
L-BFGS Step 5: Total Loss: 3.997697e-01 | PDE: 2.013192e-03 | BC_sides: 5.441015e-05 | Free_top: 6.499032e-03 | Free_bot: 1.400813e-02 | Load: 1.449920e-02 | Energy: -2.419896e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.488994e-04 | ImpactInv: 0.000000e+00 | Time: 0.5405s
L-BFGS Step 6: Total Loss: 3.997433e-01 | PDE: 1.983979e-03 | BC_sides: 5.442159e-05 | Free_top: 6.492095e-03 | Free_bot: 1.400571e-02 | Load: 1.451155e-02 | Energy: -2.420408e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.493882e-04 | ImpactInv: 0.000000e+00 | Time: 0.5294s
L-BFGS Step 7: Total Loss: 3.996516e-01 | PDE: 1.978598e-03 | BC_sides: 5.443491e-05 | Free_top: 6.493556e-03 | Free_bot: 1.400750e-02 | Load: 1.450813e-02 | Energy: -2.420333e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.495239e-04 | ImpactInv: 0.000000e+00 | Time: 0.5296s
L-BFGS Step 8: Total Loss: 3.996239e-01 | PDE: 1.980568e-03 | BC_sides: 5.444140e-05 | Free_top: 6.503351e-03 | Free_bot: 1.401893e-02 | Load: 1.448788e-02 | Energy: -2.419586e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.495816e-04 | ImpactInv: 0.000000e+00 | Time: 0.5366s
L-BFGS Step 9: Total Loss: 3.995737e-01 | PDE: 1.991935e-03 | BC_sides: 5.439214e-05 | Free_top: 6.514071e-03 | Free_bot: 1.402770e-02 | Load: 1.445987e-02 | Energy: -2.418255e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.494341e-04 | ImpactInv: 0.000000e+00 | Time: 0.5269s
L-BFGS Step 10: Total Loss: 3.995103e-01 | PDE: 2.016975e-03 | BC_sides: 5.443034e-05 | Free_top: 6.532455e-03 | Free_bot: 1.403988e-02 | Load: 1.440267e-02 | Energy: -2.416058e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.491358e-04 | ImpactInv: 0.000000e+00 | Time: 0.5281s
