Using device: mps
Using p0 = 1.0
MultiLayerPINN(
  (layer): LayerNet(
    (net): Sequential(
      (0): Linear(in_features=21, out_features=64, bias=True)
      (1): Tanh()
      (2): Linear(in_features=64, out_features=64, bias=True)
      (3): Tanh()
      (4): Linear(in_features=64, out_features=64, bias=True)
      (5): Tanh()
      (6): Linear(in_features=64, out_features=64, bias=True)
      (7): Tanh()
      (8): Linear(in_features=64, out_features=3, bias=True)
    )
  )
)
Loading FEM solution for comparison...
FEM solution not found. Training without FEM comparison.
Loading hybrid supervision data (N=36000, E=[1.0, 10.0])...
  Loaded cached FEM supervision: /Users/hanbosong/GitHub/Basic-PiNN-Model-For-Three-Layered-Collision/three-layer-workflow/supervision_cache/fem_supervision_34741efd821c827a.pt (36000 points)
Attached 36000 supervision points to training data.
Starting SOAP Pretraining...
Epoch 0: Total Loss: 22618.023438 | PDE: 711.785522 | BC_sides: 0.000414 | Free_top: 8.608118 | Free_bot: 7.125263 | Load: 8.907660 | Energy: 0.280115 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 2.755916 | ImpactInv: 0.000000 | LR: 1.00e-03 | Time: 0.7409s
Epoch 100: Total Loss: 240.192444 | PDE: 0.654884 | BC_sides: 0.001771 | Free_top: 0.066379 | Free_bot: 0.206022 | Load: 0.360587 | Energy: -0.000512 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.009278 | ImpactInv: 0.000000 | LR: 1.00e-03 | Time: 25.3846s
Epoch 200: Total Loss: 206.223801 | PDE: 0.054199 | BC_sides: 0.002031 | Free_top: 0.006808 | Free_bot: 0.010144 | Load: 0.166297 | Energy: -0.004105 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.001096 | ImpactInv: 0.000000 | LR: 3.00e-04 | Time: 25.3429s
Epoch 300: Total Loss: 198.703690 | PDE: 0.044551 | BC_sides: 0.001986 | Free_top: 0.030206 | Free_bot: 0.013170 | Load: 0.113529 | Energy: -0.003769 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000729 | ImpactInv: 0.000000 | LR: 3.00e-04 | Time: 25.5572s
Epoch 400: Total Loss: 195.052673 | PDE: 0.043608 | BC_sides: 0.001956 | Free_top: 0.036182 | Free_bot: 0.015369 | Load: 0.107060 | Energy: -0.003658 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000743 | ImpactInv: 0.000000 | LR: 9.00e-05 | Time: 25.4325s
Epoch 500: Total Loss: 193.309204 | PDE: 0.039535 | BC_sides: 0.001943 | Free_top: 0.039467 | Free_bot: 0.016845 | Load: 0.104381 | Energy: -0.003600 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000758 | ImpactInv: 0.000000 | LR: 2.70e-05 | Time: 25.5298s
Epoch 600: Total Loss: 192.756775 | PDE: 0.038632 | BC_sides: 0.001938 | Free_top: 0.040307 | Free_bot: 0.017575 | Load: 0.103441 | Energy: -0.003581 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000762 | ImpactInv: 0.000000 | LR: 2.70e-05 | Time: 25.4971s
Epoch 700: Total Loss: 192.451782 | PDE: 0.038388 | BC_sides: 0.001934 | Free_top: 0.041063 | Free_bot: 0.017879 | Load: 0.103060 | Energy: -0.003572 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000769 | ImpactInv: 0.000000 | LR: 8.10e-06 | Time: 25.4210s
SOAP Pretraining Complete. Total Time: 204.40s
Starting L-BFGS Fine-Tuning...
Running 100 L-BFGS outer steps.
Using fixed collocation set during L-BFGS for stability.
L-BFGS Step 0: Total Loss: 1.915483e+02 | PDE: 3.834840e-02 | BC_sides: 1.932518e-03 | Free_top: 4.116019e-02 | Free_bot: 1.787029e-02 | Load: 1.031477e-01 | Energy: -3.573650e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.699380e-04 | ImpactInv: 0.000000e+00 | Time: 0.7953s
L-BFGS Step 1: Total Loss: 1.915474e+02 | PDE: 3.864205e-02 | BC_sides: 1.934679e-03 | Free_top: 4.188440e-02 | Free_bot: 1.807282e-02 | Load: 1.029299e-01 | Energy: -3.575318e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.637119e-04 | ImpactInv: 0.000000e+00 | Time: 0.7666s
L-BFGS Step 2: Total Loss: 1.915333e+02 | PDE: 4.493517e-02 | BC_sides: 1.952132e-03 | Free_top: 4.533212e-02 | Free_bot: 1.814355e-02 | Load: 1.019724e-01 | Energy: -3.582619e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.441210e-04 | ImpactInv: 0.000000e+00 | Time: 0.5067s
L-BFGS Step 3: Total Loss: 1.914453e+02 | PDE: 5.279723e-02 | BC_sides: 1.971454e-03 | Free_top: 5.385016e-02 | Free_bot: 2.062582e-02 | Load: 1.005987e-01 | Energy: -3.584521e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 8.127491e-04 | ImpactInv: 0.000000e+00 | Time: 0.5081s
L-BFGS Step 4: Total Loss: 1.913766e+02 | PDE: 6.425905e-02 | BC_sides: 1.985604e-03 | Free_top: 6.146653e-02 | Free_bot: 2.256822e-02 | Load: 1.001373e-01 | Energy: -3.569837e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.787464e-04 | ImpactInv: 0.000000e+00 | Time: 0.5077s
L-BFGS Step 5: Total Loss: 1.913169e+02 | PDE: 6.336708e-02 | BC_sides: 1.989315e-03 | Free_top: 5.987386e-02 | Free_bot: 2.132105e-02 | Load: 9.994332e-02 | Energy: -3.566824e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.683951e-04 | ImpactInv: 0.000000e+00 | Time: 0.5085s
L-BFGS Step 6: Total Loss: 1.912383e+02 | PDE: 7.019199e-02 | BC_sides: 1.996859e-03 | Free_top: 5.793157e-02 | Free_bot: 1.974214e-02 | Load: 9.966808e-02 | Energy: -3.556081e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.677514e-04 | ImpactInv: 0.000000e+00 | Time: 0.5087s
L-BFGS Step 7: Total Loss: 1.911633e+02 | PDE: 7.313768e-02 | BC_sides: 2.000369e-03 | Free_top: 5.725865e-02 | Free_bot: 1.949359e-02 | Load: 9.954225e-02 | Energy: -3.547945e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.677617e-04 | ImpactInv: 0.000000e+00 | Time: 0.5100s
L-BFGS Step 8: Total Loss: 1.911076e+02 | PDE: 9.521978e-02 | BC_sides: 2.021119e-03 | Free_top: 5.687045e-02 | Free_bot: 2.029833e-02 | Load: 9.887530e-02 | Energy: -3.483386e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 8.620506e-04 | ImpactInv: 0.000000e+00 | Time: 0.5084s
L-BFGS Step 9: Total Loss: 1.908198e+02 | PDE: 1.114784e-01 | BC_sides: 2.033331e-03 | Free_top: 5.914846e-02 | Free_bot: 2.290165e-02 | Load: 9.827523e-02 | Energy: -3.427947e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 9.711207e-04 | ImpactInv: 0.000000e+00 | Time: 0.5090s
L-BFGS Step 10: Total Loss: 1.905872e+02 | PDE: 1.617238e-01 | BC_sides: 2.033108e-03 | Free_top: 7.019132e-02 | Free_bot: 3.163511e-02 | Load: 9.623764e-02 | Energy: -3.319536e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.168003e-03 | ImpactInv: 0.000000e+00 | Time: 0.5104s
L-BFGS Step 11: Total Loss: 1.901662e+02 | PDE: 2.002457e-01 | BC_sides: 2.004565e-03 | Free_top: 8.053768e-02 | Free_bot: 3.956969e-02 | Load: 9.480885e-02 | Energy: -3.223048e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.223008e-03 | ImpactInv: 0.000000e+00 | Time: 0.5110s
L-BFGS Step 12: Total Loss: 1.897544e+02 | PDE: 1.996354e-01 | BC_sides: 1.971229e-03 | Free_top: 8.654796e-02 | Free_bot: 4.256076e-02 | Load: 9.412290e-02 | Energy: -3.196706e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.235773e-03 | ImpactInv: 0.000000e+00 | Time: 0.5116s
L-BFGS Step 13: Total Loss: 1.894396e+02 | PDE: 2.253504e-01 | BC_sides: 1.912399e-03 | Free_top: 9.495890e-02 | Free_bot: 4.028118e-02 | Load: 9.344686e-02 | Energy: -3.108986e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.286809e-03 | ImpactInv: 0.000000e+00 | Time: 0.5132s
L-BFGS Step 14: Total Loss: 1.890803e+02 | PDE: 2.221511e-01 | BC_sides: 1.865871e-03 | Free_top: 9.349103e-02 | Free_bot: 3.983363e-02 | Load: 9.334274e-02 | Energy: -3.045542e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.436514e-03 | ImpactInv: 0.000000e+00 | Time: 0.5114s
L-BFGS Step 15: Total Loss: 1.888770e+02 | PDE: 2.178909e-01 | BC_sides: 1.868514e-03 | Free_top: 9.313517e-02 | Free_bot: 3.781855e-02 | Load: 9.332102e-02 | Energy: -3.022160e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.337007e-03 | ImpactInv: 0.000000e+00 | Time: 0.5125s
L-BFGS Step 16: Total Loss: 1.887240e+02 | PDE: 2.450813e-01 | BC_sides: 1.861483e-03 | Free_top: 9.936313e-02 | Free_bot: 3.731569e-02 | Load: 9.294152e-02 | Energy: -2.890903e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.551616e-03 | ImpactInv: 0.000000e+00 | Time: 0.5125s
L-BFGS Step 17: Total Loss: 1.885178e+02 | PDE: 2.460973e-01 | BC_sides: 1.870229e-03 | Free_top: 1.015023e-01 | Free_bot: 3.683519e-02 | Load: 9.283976e-02 | Energy: -2.897401e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.561929e-03 | ImpactInv: 0.000000e+00 | Time: 0.5133s
L-BFGS Step 18: Total Loss: 1.883075e+02 | PDE: 3.147258e-01 | BC_sides: 1.880108e-03 | Free_top: 1.318516e-01 | Free_bot: 4.424082e-02 | Load: 9.308729e-02 | Energy: -2.815123e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.717070e-03 | ImpactInv: 0.000000e+00 | Time: 0.5141s
L-BFGS Step 19: Total Loss: 1.880891e+02 | PDE: 3.048692e-01 | BC_sides: 1.879199e-03 | Free_top: 1.260163e-01 | Free_bot: 4.358610e-02 | Load: 9.272352e-02 | Energy: -2.874800e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.691685e-03 | ImpactInv: 0.000000e+00 | Time: 0.5142s
L-BFGS Step 20: Total Loss: 1.879873e+02 | PDE: 3.002515e-01 | BC_sides: 1.876480e-03 | Free_top: 1.264337e-01 | Free_bot: 4.394637e-02 | Load: 9.261198e-02 | Energy: -2.887650e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.676760e-03 | ImpactInv: 0.000000e+00 | Time: 0.5124s
L-BFGS Step 21: Total Loss: 1.878849e+02 | PDE: 3.267429e-01 | BC_sides: 1.857989e-03 | Free_top: 1.320268e-01 | Free_bot: 4.372368e-02 | Load: 9.179610e-02 | Energy: -2.889082e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.722792e-03 | ImpactInv: 0.000000e+00 | Time: 0.5155s
L-BFGS Step 22: Total Loss: 1.874580e+02 | PDE: 3.301954e-01 | BC_sides: 1.863716e-03 | Free_top: 1.289872e-01 | Free_bot: 4.225153e-02 | Load: 9.119058e-02 | Energy: -2.910858e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.703902e-03 | ImpactInv: 0.000000e+00 | Time: 0.5146s
L-BFGS Step 23: Total Loss: 1.872686e+02 | PDE: 3.709275e-01 | BC_sides: 1.854927e-03 | Free_top: 1.267803e-01 | Free_bot: 4.139576e-02 | Load: 9.046349e-02 | Energy: -2.869155e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.837872e-03 | ImpactInv: 0.000000e+00 | Time: 0.5151s
L-BFGS Step 24: Total Loss: 1.870909e+02 | PDE: 3.727545e-01 | BC_sides: 1.858514e-03 | Free_top: 1.231786e-01 | Free_bot: 4.136734e-02 | Load: 9.023752e-02 | Energy: -2.872026e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.922580e-03 | ImpactInv: 0.000000e+00 | Time: 0.5157s
L-BFGS Step 25: Total Loss: 1.869166e+02 | PDE: 4.081669e-01 | BC_sides: 1.845933e-03 | Free_top: 1.186883e-01 | Free_bot: 4.388022e-02 | Load: 9.038056e-02 | Energy: -2.861218e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 2.341590e-03 | ImpactInv: 0.000000e+00 | Time: 0.5174s
L-BFGS Step 26: Total Loss: 1.864669e+02 | PDE: 4.313530e-01 | BC_sides: 1.823604e-03 | Free_top: 1.173042e-01 | Free_bot: 4.612901e-02 | Load: 9.048004e-02 | Energy: -2.909236e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 2.623825e-03 | ImpactInv: 0.000000e+00 | Time: 0.5162s
L-BFGS Step 27: Total Loss: 1.860074e+02 | PDE: 5.092098e-01 | BC_sides: 1.740165e-03 | Free_top: 1.292765e-01 | Free_bot: 5.397944e-02 | Load: 8.772213e-02 | Energy: -3.020731e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.218021e-03 | ImpactInv: 0.000000e+00 | Time: 0.5173s
L-BFGS Step 28: Total Loss: 1.852006e+02 | PDE: 5.261620e-01 | BC_sides: 1.684271e-03 | Free_top: 1.269490e-01 | Free_bot: 5.913527e-02 | Load: 8.625959e-02 | Energy: -3.153031e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.378480e-03 | ImpactInv: 0.000000e+00 | Time: 0.5161s
L-BFGS Step 29: Total Loss: 1.847082e+02 | PDE: 5.306813e-01 | BC_sides: 1.655905e-03 | Free_top: 1.338460e-01 | Free_bot: 6.288375e-02 | Load: 8.535052e-02 | Energy: -3.141566e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.465564e-03 | ImpactInv: 0.000000e+00 | Time: 0.5188s
L-BFGS Step 30: Total Loss: 1.844401e+02 | PDE: 5.061285e-01 | BC_sides: 1.645467e-03 | Free_top: 1.372929e-01 | Free_bot: 6.336627e-02 | Load: 8.455402e-02 | Energy: -3.161168e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.284768e-03 | ImpactInv: 0.000000e+00 | Time: 0.5178s
L-BFGS Step 31: Total Loss: 1.842891e+02 | PDE: 5.399641e-01 | BC_sides: 1.621719e-03 | Free_top: 1.509527e-01 | Free_bot: 6.986985e-02 | Load: 8.397746e-02 | Energy: -3.127230e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.651697e-03 | ImpactInv: 0.000000e+00 | Time: 0.5170s
L-BFGS Step 32: Total Loss: 1.841036e+02 | PDE: 5.732431e-01 | BC_sides: 1.605702e-03 | Free_top: 1.574601e-01 | Free_bot: 8.211592e-02 | Load: 8.380637e-02 | Energy: -3.111823e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.897232e-03 | ImpactInv: 0.000000e+00 | Time: 0.5189s
L-BFGS Step 33: Total Loss: 1.836394e+02 | PDE: 6.844618e-01 | BC_sides: 1.552156e-03 | Free_top: 1.665787e-01 | Free_bot: 1.074452e-01 | Load: 8.372980e-02 | Energy: -3.024860e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 4.842169e-03 | ImpactInv: 0.000000e+00 | Time: 0.5182s
L-BFGS Step 34: Total Loss: 1.828540e+02 | PDE: 7.115967e-01 | BC_sides: 1.546485e-03 | Free_top: 1.527893e-01 | Free_bot: 1.214124e-01 | Load: 8.471926e-02 | Energy: -3.024115e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 5.827329e-03 | ImpactInv: 0.000000e+00 | Time: 0.5192s
L-BFGS Step 35: Total Loss: 1.822428e+02 | PDE: 7.909437e-01 | BC_sides: 1.510450e-03 | Free_top: 1.541202e-01 | Free_bot: 1.309737e-01 | Load: 8.482495e-02 | Energy: -2.980319e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.509799e-03 | ImpactInv: 0.000000e+00 | Time: 0.5190s
L-BFGS Step 36: Total Loss: 1.818128e+02 | PDE: 7.745749e-01 | BC_sides: 1.494531e-03 | Free_top: 1.486743e-01 | Free_bot: 1.297456e-01 | Load: 8.507565e-02 | Energy: -3.003452e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.649054e-03 | ImpactInv: 0.000000e+00 | Time: 0.5182s
