Using device: mps
Using p0 = 1.0
MultiLayerPINN(
  (layer): LayerNet(
    (net): Sequential(
      (0): Linear(in_features=21, out_features=64, bias=True)
      (1): Tanh()
      (2): Linear(in_features=64, out_features=64, bias=True)
      (3): Tanh()
      (4): Linear(in_features=64, out_features=64, bias=True)
      (5): Tanh()
      (6): Linear(in_features=64, out_features=64, bias=True)
      (7): Tanh()
      (8): Linear(in_features=64, out_features=3, bias=True)
    )
  )
)
Loading FEM solution for comparison...
FEM data loaded: (31, 31, 11)
Loading hybrid supervision data (N=36000, E=[1.0, 10.0])...
  Loaded cached FEM supervision: /Users/hanbosong/GitHub/Basic-PiNN-Model-For-Three-Layered-Collision/three-layer-workflow/supervision_cache/fem_supervision_34741efd821c827a.pt (36000 points)
Attached 36000 supervision points to training data.
Starting SOAP Pretraining...
Epoch 0: Total Loss: 23899.169922 | PDE: 758.827637 | BC_sides: 0.000215 | Free_top: 12.217858 | Free_bot: 4.681828 | Load: 10.491090 | Energy: 0.126069 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 2.417763 | ImpactInv: 0.000000 | LR: 1.00e-03 | FEM MAE: 0.396708 | Time: 0.8858s
Epoch 100: Total Loss: 241.803802 | PDE: 0.410771 | BC_sides: 0.000483 | Free_top: 0.049387 | Free_bot: 0.012439 | Load: 0.138370 | Energy: -0.001522 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.003761 | ImpactInv: 0.000000 | LR: 1.00e-03 | FEM MAE: 0.266178 | Time: 25.9369s
Epoch 200: Total Loss: 208.040100 | PDE: 0.057801 | BC_sides: 0.001525 | Free_top: 0.043700 | Free_bot: 0.053014 | Load: 0.149832 | Energy: -0.002743 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000745 | ImpactInv: 0.000000 | LR: 3.00e-04 | FEM MAE: 0.277789 | Time: 26.0983s
Epoch 300: Total Loss: 200.102600 | PDE: 0.042138 | BC_sides: 0.001661 | Free_top: 0.038570 | Free_bot: 0.045476 | Load: 0.126840 | Energy: -0.002996 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000595 | ImpactInv: 0.000000 | LR: 3.00e-04 | FEM MAE: 0.282021 | Time: 25.8916s
Epoch 400: Total Loss: 196.616440 | PDE: 0.038695 | BC_sides: 0.001661 | Free_top: 0.033559 | Free_bot: 0.034027 | Load: 0.120270 | Energy: -0.003188 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000622 | ImpactInv: 0.000000 | LR: 9.00e-05 | FEM MAE: 0.281754 | Time: 26.1495s
Epoch 500: Total Loss: 194.793289 | PDE: 0.034790 | BC_sides: 0.001656 | Free_top: 0.028894 | Free_bot: 0.025214 | Load: 0.117467 | Energy: -0.003366 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000608 | ImpactInv: 0.000000 | LR: 2.70e-05 | FEM MAE: 0.280878 | Time: 26.1715s
Epoch 600: Total Loss: 194.231186 | PDE: 0.033772 | BC_sides: 0.001655 | Free_top: 0.027620 | Free_bot: 0.022416 | Load: 0.117007 | Energy: -0.003436 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000605 | ImpactInv: 0.000000 | LR: 2.70e-05 | FEM MAE: 0.280608 | Time: 25.8662s
Epoch 700: Total Loss: 193.929611 | PDE: 0.033303 | BC_sides: 0.001652 | Free_top: 0.027860 | Free_bot: 0.020835 | Load: 0.116567 | Energy: -0.003457 | ImpactC: 0.000000 | FricC: 0.000000 | FricS: 0.000000 | Interface: 0.000614 | ImpactInv: 0.000000 | LR: 8.10e-06 | FEM MAE: 0.280465 | Time: 26.2058s
SOAP Pretraining Complete. Total Time: 208.81s
Starting L-BFGS Fine-Tuning...
Running 100 L-BFGS outer steps.
Using fixed collocation set during L-BFGS for stability.
L-BFGS Step 0: Total Loss: 1.931232e+02 | PDE: 3.320912e-02 | BC_sides: 1.651513e-03 | Free_top: 2.788842e-02 | Free_bot: 2.032129e-02 | Load: 1.163541e-01 | Energy: -3.465368e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.176607e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.804539e-01 | Time: 0.7944s
L-BFGS Step 1: Total Loss: 1.931220e+02 | PDE: 3.327486e-02 | BC_sides: 1.652069e-03 | Free_top: 2.781281e-02 | Free_bot: 2.025828e-02 | Load: 1.163637e-01 | Energy: -3.466289e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.164915e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.804730e-01 | Time: 0.7721s
L-BFGS Step 2: Total Loss: 1.931205e+02 | PDE: 3.350279e-02 | BC_sides: 1.653306e-03 | Free_top: 2.773749e-02 | Free_bot: 2.018763e-02 | Load: 1.163643e-01 | Energy: -3.467817e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.135557e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.805158e-01 | Time: 0.5068s
L-BFGS Step 3: Total Loss: 1.931172e+02 | PDE: 3.432708e-02 | BC_sides: 1.656888e-03 | Free_top: 2.766875e-02 | Free_bot: 2.009573e-02 | Load: 1.163321e-01 | Energy: -3.471407e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.049934e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.806397e-01 | Time: 0.5241s
L-BFGS Step 4: Total Loss: 1.931088e+02 | PDE: 3.566891e-02 | BC_sides: 1.662062e-03 | Free_top: 2.778683e-02 | Free_bot: 2.012995e-02 | Load: 1.162355e-01 | Energy: -3.475494e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 5.932945e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.808194e-01 | Time: 0.5117s
L-BFGS Step 5: Total Loss: 1.930976e+02 | PDE: 3.744811e-02 | BC_sides: 1.670617e-03 | Free_top: 2.871986e-02 | Free_bot: 2.079214e-02 | Load: 1.159252e-01 | Energy: -3.480476e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 5.812804e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.811270e-01 | Time: 0.5148s
L-BFGS Step 6: Total Loss: 1.930740e+02 | PDE: 4.084063e-02 | BC_sides: 1.685376e-03 | Free_top: 2.944496e-02 | Free_bot: 2.109022e-02 | Load: 1.155606e-01 | Energy: -3.489315e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 5.683179e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.816544e-01 | Time: 0.5088s
L-BFGS Step 7: Total Loss: 1.930363e+02 | PDE: 4.392326e-02 | BC_sides: 1.698071e-03 | Free_top: 2.993804e-02 | Free_bot: 2.120212e-02 | Load: 1.152621e-01 | Energy: -3.496647e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 5.663373e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.821109e-01 | Time: 0.5121s
L-BFGS Step 8: Total Loss: 1.930068e+02 | PDE: 4.627226e-02 | BC_sides: 1.708543e-03 | Free_top: 3.000869e-02 | Free_bot: 2.101366e-02 | Load: 1.150578e-01 | Energy: -3.503407e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 5.705447e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.824875e-01 | Time: 0.5130s
L-BFGS Step 9: Total Loss: 1.929808e+02 | PDE: 5.015269e-02 | BC_sides: 1.729280e-03 | Free_top: 3.093507e-02 | Free_bot: 2.145040e-02 | Load: 1.145592e-01 | Energy: -3.517060e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 5.745009e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.832290e-01 | Time: 0.5294s
L-BFGS Step 10: Total Loss: 1.929196e+02 | PDE: 5.966575e-02 | BC_sides: 1.762368e-03 | Free_top: 2.966568e-02 | Free_bot: 1.936086e-02 | Load: 1.140236e-01 | Energy: -3.544811e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.023416e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.844204e-01 | Time: 0.5118s
